occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family
130294,Protarchaeopteryx,omnivorous,small theropod,2.0,130.0,122.46,Liaoning,120.73333,41.799999,Saurischia,Archaeopterygidae
130295,Caudipteryx,omnivorous,small theropod,1.0,130.0,122.46,Liaoning,120.73333,41.799999,Saurischia,Caudipterygidae
139242,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.528732,50.740726,Saurischia,Tyrannosauridae
139250,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.549347,50.737015,Saurischia,Tyrannosauridae
139252,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.564636,50.723866,Saurischia,Tyrannosauridae
139253,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.525337,50.740471,Saurischia,Tyrannosauridae
139254,Gorgosaurus,carnivorous,large theropod,8.6,83.5,70.6,Alberta,-111.601021,50.786999,Saurischia,Tyrannosauridae
139255,Albertosaurus,carnivorous,large theropod,9.0,72.1,66.0,Alberta,-112.981903,51.8046,Saurischia,Tyrannosauridae
139256,Albertosaurus,carnivorous,large theropod,9.0,70.6,66.0,Alberta,-112.981903,51.819099,Saurischia,Tyrannosauridae
139257,Albertosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-112.818901,51.542702,Saurischia,Tyrannosauridae
139258,Albertosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-112.8423,51.469898,Saurischia,Tyrannosauridae
139259,Albertosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-112.702202,51.4408,Saurischia,Tyrannosauridae
139260,Isisaurus,herbivorous,sauropod,18.0,72.1,66.0,Maharashtra,80.366669,21.183332,Saurischia,
139261,Daspletosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-110.681999,49.083698,Saurischia,Tyrannosauridae
139262,Daspletosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-111.511902,50.742401,Saurischia,Tyrannosauridae
139290,Daspletosaurus,carnivorous,large theropod,9.0,83.5,70.6,Alberta,-111.485008,50.751526,Saurischia,Tyrannosauridae
139291,Albertosaurus,carnivorous,large theropod,9.0,70.6,66.0,Alberta,-112.934799,51.928299,Saurischia,Tyrannosauridae
139292,Tyrannosaurus,carnivorous,large theropod,12.0,72.1,66.0,Alberta,-113.0289,51.906399,Saurischia,Tyrannosauridae
139293,Tyrannosaurus,carnivorous,large theropod,12.0,72.1,66.0,Alberta,-113.23333,51.933334,Saurischia,Tyrannosauridae
139306,Amygdalodon,herbivorous,sauropod,15.0,180.1,171.6,Chubut,-69.51667,-43.966667,Saurischia,
139307,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Colorado,-108.63855,39.031395,Saurischia,
139308,Camarasaurus,herbivorous,sauropod,23.0,157.3,152.1,Colorado,-108.717499,39.111668,Saurischia,
144307,Bistahieversor,,,,83.5,70.6,New Mexico,-107.966393,36.06028,Saurischia,
148500,Sonorasaurus,,,,105.3,93.5,Arizona,-110.418053,31.81139,Saurischia,Brachiosauridae
148628,Mononykus,carnivorous,small theropod,1.0,72.1,66.0,Omnogov,99.599998,43.540001,Saurischia,
148629,Tarbosaurus,carnivorous,large theropod,10.0,72.1,66.0,Omnogov,99.599998,43.540001,Saurischia,Tyrannosauridae
149592,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Wyoming,-106.041,41.893101,Saurischia,Allosauridae
149596,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Wyoming,-106.389999,42.035831,Saurischia,Allosauridae
149598,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Wyoming,-106.389999,42.035831,Saurischia,Diplodocidae
149600,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Wyoming,-106.389999,42.035831,Saurischia,
149988,Efraasia,,,,228.0,208.5,Baden-Württemberg,8.978333,49.023609,Saurischia,
150175,Massospondylus,omnivorous,sauropod,4.0,201.3,190.8,Free State,28.623056,-28.509443,Saurischia,Massospondylidae
150240,Amargasaurus,herbivorous,sauropod,12.0,129.4,122.46,Neuquén,-70.194786,-39.481979,Saurischia,Dicraeosauridae
